Title,Link,ArticleType,Abstract,SupplementaryDatasets
Metabolic adaptability in metastatic breast cancer by AKR1B10-dependent balancing of glycolysis and fatty acid oxidation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667,Article,"The different stages of the metastatic cascade present distinct metabolic challenges to tumour cells and an altered tumour metabolism associated with successful metastatic colonisation provides a therapeutic vulnerability in disseminated disease. We identify the aldo-keto reductase AKR1B10 as a metastasis enhancer that has little impact on primary tumour growth or dissemination but promotes effective tumour growth in secondary sites and, in human disease, is associated with an increased risk of distant metastatic relapse. AKR1B10","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM3_ESM.pdf"
Chemotherapy induces ACE2 expression in breast cancer via the ROS-AKT-HIF-1α signaling pathway: a potential prognostic marker for breast cancer patients receiving chemotherapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM2_ESM.tif"
"Increased expression of glutamine transporter SNAT2/SLC38A2 promotes glutamine dependence and oxidative stress resistance, and is associated with worse prognosis in triple-negative breast cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531,Article,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531/bin/41416_2020_1113_MOESM1_ESM.pdf
Unconventional protein post-translational modifications: the helmsmen in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842,Review,"Breast cancer is the most prevalent malignant tumor and a leading cause of mortality among females worldwide. The tumorigenesis and progression of breast cancer involve complex pathophysiological processes, which may be mediated by post-translational modifications (PTMs) of proteins, stimulated by various genes and signaling pathways. Studies into PTMs have long been dominated by the investigation of protein phosphorylation and histone epigenetic modifications. However, with great advances in proteomic techniques, several other PTMs, such as acetylation, glycosylation, sumoylation, methylation, ubiquitination, citrullination, and palmitoylation have been confirmed in breast cancer. Nevertheless, the mechanisms, effects, and inhibitors of these unconventional PTMs (particularly, the non-histone modifications other than phosphorylation) received comparatively little attention. Therefore, in this review, we illustrate the functions of these PTMs and highlight their impact on the oncogenesis and progression of breast cancer. Identification of novel potential therapeutic drugs targeting PTMs and development of biological markers for the detection of breast cancer would be significantly valuable for the efficient selection of therapeutic regimens and prediction of disease prognosis in patients with breast cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842/bin/13578_2022_756_MOESM1_ESM.docx
STAT1 potentiates oxidative stress revealing a targetable vulnerability that increases phenformin efficacy in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605,Article,"Bioenergetic perturbations driving neoplastic growth increase the production of reactive oxygen species (ROS), requiring a compensatory increase in ROS scavengers to limit oxidative stress. Intervention strategies that simultaneously induce energetic and oxidative stress therefore have therapeutic potential. Phenformin is a mitochondrial complex I inhibitor that induces bioenergetic stress. We now demonstrate that inflammatory mediators, including IFNγ and polyIC, potentiate the cytotoxicity of phenformin by inducing a parallel increase in oxidative stress through STAT1-dependent mechanisms. Indeed, STAT1 signaling downregulates NQO1, a key ROS scavenger, in many breast cancer models. Moreover, genetic ablation or pharmacological inhibition of NQO1 using β-lapachone (an NQO1 bioactivatable drug) increases oxidative stress to selectively sensitize breast cancer models, including patient derived xenografts of HER2+ and triple negative disease, to the tumoricidal effects of phenformin. We provide evidence that therapies targeting ROS scavengers increase the anti-neoplastic efficacy of mitochondrial complex I inhibitors in breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM6_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM7_ESM.pdf"
The sirtuin family in health and disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940,Review Article,"Sirtuins (SIRTs) are nicotine adenine dinucleotide(+)-dependent histone deacetylases regulating critical signaling pathways in prokaryotes and eukaryotes, and are involved in numerous biological processes. Currently, seven mammalian homologs of yeast Sir2 named SIRT1 to SIRT7 have been identified. Increasing evidence has suggested the vital roles of seven members of the SIRT family in health and disease conditions. Notably, this protein family plays a variety of important roles in cellular biology such as inflammation, metabolism, oxidative stress, and apoptosis, etc., thus, it is considered a potential therapeutic target for different kinds of pathologies including cancer, cardiovascular disease, respiratory disease, and other conditions. Moreover, identification of SIRT modulators and exploring the functions of these different modulators have prompted increased efforts to discover new small molecules, which can modify SIRT activity. Furthermore, several randomized controlled trials have indicated that different interventions might affect the expression of SIRT protein in human samples, and supplementation of SIRT modulators might have diverse impact on physiological function in different participants. In this review, we introduce the history and structure of the SIRT protein family, discuss the molecular mechanisms and biological functions of seven members of the SIRT protein family, elaborate on the regulatory roles of SIRTs in human disease, summarize SIRT inhibitors and activators, and review related clinical studies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940/bin/41392_2022_1257_MOESM1_ESM.docx
Genome-wide association study of germline variants and breast cancer-specific mortality,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853,Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM3_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM6_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM7_ESM.txt"
Associations between dietary patterns and the risk of breast cancer: a systematic review and meta-analysis of observational studies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM1_ESM.doc, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM2_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM3_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM4_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM5_ESM.jpg"
A tumour suppressive relationship between mineralocorticoid and retinoic acid receptors activates a transcriptional program consistent with a reverse Warburg effect in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM5_ESM.docx"
A SNAI2-PEAK1-INHBA stromal axis drives progression and lapatinib resistance in HER2-positive breast cancer by supporting subpopulations of tumor cells positive for antiapoptotic and stress signaling markers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636,Article,"Intercellular mechanisms by which the stromal microenvironment contributes to solid tumor progression and targeted therapy resistance remain poorly understood, presenting significant clinical hurdles. PEAK1 (Pseudopodium-Enriched Atypical Kinase One) is an actin cytoskeleton- and focal adhesion-associated pseudokinase that promotes cell state plasticity and cancer metastasis by mediating growth factor-integrin signaling crosstalk. Here, we determined that stromal PEAK1 expression predicts poor outcomes in HER2-positive breast cancers high in SNAI2 expression and enriched for MSC content. Specifically, we identified that the fibroblastic stroma in HER2-positive breast cancer patient tissue stains positive for both nuclear SNAI2 and cytoplasmic PEAK1. Furthermore, mesenchymal stem cells (MSCs) and cancer-associated fibroblasts (CAFs) express high PEAK1 protein levels and potentiate tumorigenesis, lapatinib resistance and metastasis of HER2-positive breast cancer cells in a PEAK1-dependent manner. Analysis of PEAK1-dependent secreted factors from MSCs revealed INHBA/activin-A as a necessary factor in the conditioned media of PEAK1-expressing MSCs that promotes lapatinib resistance. Single-cell CycIF analysis of MSC-breast cancer cell co-cultures identified enrichment of p-Akt","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636/bin/41388_2021_1906_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636/bin/41388_2021_1906_MOESM2_ESM.pdf"
p66ShcA functions as a contextual promoter of breast cancer metastasis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM5_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM6_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM7_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM8_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM9_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM10_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM11_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM12_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6964019/bin/13058_2020_1245_MOESM13_ESM.pdf"
"Adverse outcome pathways for ionizing radiation and breast cancer involve direct and indirect DNA damage, oxidative stress, inflammation, genomic instability, and interaction with hormonal regulation of the breast",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261741,Review Article,"Knowledge about established breast carcinogens can support improved and modernized toxicological testing methods by identifying key mechanistic events. Ionizing radiation (IR) increases the risk of breast cancer, especially for women and for exposure at younger ages, and evidence overall supports a linear dose–response relationship. We used the Adverse Outcome Pathway (AOP) framework to outline and evaluate the evidence linking ionizing radiation with breast cancer from molecular initiating events to the adverse outcome through intermediate key events, creating a qualitative AOP. We identified key events based on review articles, searched PubMed for recent literature on key events and IR, and identified additional papers using references. We manually curated publications and evaluated data quality. Ionizing radiation directly and indirectly causes DNA damage and increases production of reactive oxygen and nitrogen species (RONS). RONS lead to DNA damage and epigenetic changes leading to mutations and genomic instability (GI). Proliferation amplifies the effects of DNA damage and mutations leading to the AO of breast cancer. Separately, RONS and DNA damage also increase inflammation. Inflammation contributes to direct and indirect effects (effects in cells not directly reached by IR) via positive feedback to RONS and DNA damage, and separately increases proliferation and breast cancer through pro-carcinogenic effects on cells and tissue. For example, gene expression changes alter inflammatory mediators, resulting in improved survival and growth of cancer cells and a more hospitable tissue environment. All of these events overlap at multiple points with events characteristic of “background” induction of breast carcinogenesis, including hormone-responsive proliferation, oxidative activity, and DNA damage. These overlaps make the breast particularly susceptible to ionizing radiation and reinforce that these biological activities are important characteristics of carcinogens. Agents that increase these biological processes should be considered potential breast carcinogens, and predictive methods are needed to identify chemicals that increase these processes. Techniques are available to measure RONS, DNA damage and mutation, cell proliferation, and some inflammatory proteins or processes. Improved assays are needed to measure GI and chronic inflammation, as well as the interaction with hormonally driven development and proliferation. Several methods measure diverse epigenetic changes, but it is not clear which changes are relevant to breast cancer. In addition, most toxicological assays are not conducted in mammary tissue, and so it is a priority to evaluate if results from other tissues are generalizable to breast, or to conduct assays in breast tissue. Developing and applying these assays to identify exposures of concern will facilitate efforts to reduce subsequent breast cancer risk.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261741/bin/204_2020_2752_MOESM1_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261741/bin/204_2020_2752_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261741/bin/204_2020_2752_MOESM3_ESM.xlsx"
Perfluoroalkyl substances (PFASs) as risk factors for breast cancer: a case–control study in Chinese population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9463854,Research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9463854/bin/12940_2022_895_MOESM1_ESM.docx
SLC1A5 co-expression with TALDO1 associates with endocrine therapy failure in estrogen receptor-positive breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8357718,Preclinical Study,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8357718/bin/10549_2021_6298_MOESM1_ESM.pdf
Notch3 restricts metastasis of breast cancers through regulation of the JAK/STAT5A signaling pathway,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10734157,Research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10734157/bin/12885_2023_11746_MOESM1_ESM.pdf
"Influence of breast cancer risk factors on proliferation and DNA damage in human breast glandular tissues: role of intracellular estrogen levels, oxidative stress and estrogen biotransformation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527,Genotoxicity and Carcinogenicity,"Breast cancer etiology is associated with both proliferation and DNA damage induced by estrogens. Breast cancer risk factors (BCRF) such as body mass index (BMI), smoking, and intake of estrogen-active drugs were recently shown to influence intratissue estrogen levels. Thus, the aim of the present study was to investigate the influence of BCRF on estrogen-induced proliferation and DNA damage in 41 well-characterized breast glandular tissues derived from women without breast cancer. Influence of intramammary estrogen levels and BCRF on estrogen receptor (ESR) activation, ESR-related proliferation (indicated by levels of marker transcripts), oxidative stress (indicated by levels of","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM5_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM6_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM7_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837527/bin/204_2021_3198_MOESM8_ESM.pdf"
Transcriptomic analysis of human primary breast cancer identifies fatty acid oxidation as a target for metformin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986920,Article,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986920/bin/41416_2019_665_MOESM1_ESM.pdf
Benzylserine inhibits breast cancer cell growth by disrupting intracellular amino acid homeostasis and triggering amino acid response pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6019833,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6019833/bin/12885_2018_4599_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6019833/bin/12885_2018_4599_MOESM2_ESM.pdf"
"Mitochondrial transplantation regulates antitumour activity, chemoresistance and mitochondrial dynamics in breast cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM2_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM3_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM5_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343292/bin/13046_2019_1028_MOESM6_ESM.tif"
Notch signaling pathway: a comprehensive prognostic and gene expression profile analysis in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9730604,Research,"Breast cancer is a complex disease exhibiting a great degree of heterogeneity due to different molecular subtypes. Notch signaling regulates the differentiation of breast epithelial cells during normal development and plays a crucial role in breast cancer progression through the abnormal expression of the Notch up-and down-stream effectors. To date, there are only a few patient-centered clinical studies using datasets characterizing the role of Notch signaling pathway regulators in breast cancer; thus, we investigate the role and functionality of these factors in different subtypes using publicly available databases containing records from large studies. High-throughput genomic data and clinical information extracted from TCGA were analyzed. We performed Kaplan–Meier survival and differential gene expression analyses using the HALLMARK_NOTCH_SIGNALING gene set. To determine if epigenetic regulation of the Notch regulators contributes to their expression, we analyzed methylation levels of these factors using the TCGA HumanMethylation450 Array data. Notch receptors and ligands expression is generally associated with the tumor subtype, grade, and stage. Furthermore, we showed gene expression levels of most Notch factors were associated with DNA methylation rate. Modulating the expression levels of Notch receptors and effectors can be a potential therapeutic approach for breast cancer. As we outline herein, elucidating the novel prognostic and regulatory roles of Notch implicate this pathway as an essential mediator controlling breast cancer progression.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9730604/bin/12885_2022_10383_MOESM1_ESM.docx
RACK1 facilitates breast cancer progression by competitively inhibiting the binding of β-catenin to PSMD2 and enhancing the stability of β-catenin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012,Article,"The receptor for activated C kinase 1 (RACK1) is a key scaffolding protein with multifunctional and multifaceted properties. By mediating protein-protein interactions, RACK1 integrates multiple intracellular signals involved in the regulation of various physiological and pathological processes. Dysregulation of RACK1 has been implicated in the initiation and progression of many tumors. However, the exact function of RACK1 in cancer cellular processes, especially in proliferation, remains controversial. Here, we show that RACK1 is required for breast cancer cell proliferation in vitro and tumor growth in vivo. This effect of RACK1 is associated with its ability to enhance β-catenin stability and activate the canonical WNT signaling pathway in breast cancer cells. We identified PSMD2, a key component of the proteasome, as a novel binding partner for RACK1 and β-catenin. Interestingly, although there is no interaction between RACK1 and β-catenin, RACK1 binds PSMD2 competitively with β-catenin. Moreover, RACK1 prevents ubiquitinated β-catenin from binding to PSMD2, thereby protecting β-catenin from proteasomal degradation. Collectively, our findings uncover a novel mechanism by which RACK1 increases β-catenin stability and promotes breast cancer proliferation.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM3_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM5_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM6_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM7_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM8_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM9_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10582012/bin/41419_2023_6191_MOESM10_ESM.xlsx"
Nutrient-wide association study of 92 foods and nutrients and breast cancer risk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6958698,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6958698/bin/13058_2019_1244_MOESM1_ESM.csv, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6958698/bin/13058_2019_1244_MOESM2_ESM.csv"
Urinary phthalate exposures and risk of breast cancer: the Multiethnic Cohort study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8025373,Research Article,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8025373/bin/13058_2021_1419_MOESM1_ESM.docx
NMT1 inhibition modulates breast cancer progression through stress-triggered JNK pathway,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078,Article,"Myristoylation is one of key post-translational modifications that involved in signal transduction, cellular transformation and tumorigenesis. Increasing evidence demonstrates that targeting myristoylation might provide a new strategy for eliminating cancers. However, the underlying mechanisms are still yielded unclear. In this study, we demonstrated that genetic inhibition of N-myristoyltransferase NMT1 suppressed initiation, proliferation and invasion of breast cancer cells either in vitro or in vivo. We identified ROS could negatively regulate NMT1 expression and NMT1 knockdown conversely promoted oxidative stress, which formed a feedback loop. Furthermore, inhibition of NMT1 caused degraded proteins increase and ER stress, which cross-talked with mitochondria to produce more ROS. And both of oxidative stress and ER stress could activate JNK pathway, leading to autophagy which abrogated breast cancer progression especially triple-negative breast cancer (TNBC). These studies provide a preclinical proof of concept for targeting NMT1 as a strategy to treat breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM1_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM3_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM5_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM6_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM7_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240078/bin/41419_2018_1201_MOESM8_ESM.tif"
"Iron intake, body iron status, and risk of breast cancer: a systematic review and meta-analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM2_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM3_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM5_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6555759/bin/12885_2019_5642_MOESM6_ESM.pdf"
