Title,Link,ArticleType,Abstract,SupplementaryDatasets
"Histocompatibility Minor 13 (HM13), targeted by miR-760, exerts oncogenic role in breast cancer by suppressing autophagy and activating PI3K-AKT-mTOR pathway",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374,Article,"Histocompatibility Minor 13 (HM13) is reported to participate in regulating multiple cancers. In the present study, we uncovered that HM13 was highly expressed in breast cancer and correlated with worse prognosis. Downregulation of HM13 could suppress breast cancer cell proliferation and metastasis abilities. Tumorigenicity mediated by HM13 was also observed in the xenograft model. Knockdown of HM13 could activate autophagy by inducing endoplasmic reticulum (ER) stress. Moreover, further experiments demonstrated that downregulated HM13 could inhibit PI3K-AKT-mTOR pathway. We then verified that HM13 was a direct target of miR-760 functioned as a tumor -suppressor in breast cancer. And the tumor suppressive effects of miR-760 could be partially reversed by HM13. Taken together, these findings elucidated that HM13, targeted by miR-760, could play an oncogenic role in breast cancer by inducing autophagic inhibition and facilitating PI3K-AKT-mTOR pathway. Our findings suggested HM13 could act as a novel therapeutic target candidate for breast cancer and supported the idea that autophagy inducers might represent a new approach to treat breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM3_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM5_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM6_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM7_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM8_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM9_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM10_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9509374/bin/41419_2022_5154_MOESM11_ESM.xlsx"
Landscape of tumor suppressor long noncoding RNAs in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6376750,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6376750/bin/13046_2019_1096_MOESM1_ESM.zip, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6376750/bin/13046_2019_1096_MOESM2_ESM.zip"
The role of CPT1A as a biomarker of breast cancer progression: a bioinformatic approach,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709,Article,"Breast cancer is the commonest malignancy of women and with its incidence on the rise, the need to identify new targets for treatment is imperative. There is a growing interest in the role of lipid metabolism in cancer. Carnitine palmitoyl-transferase-1 (CPT-1); the rate limiting step in fatty acid oxidation, has been shown to be overexpressed in a range of tumours. There are three isoforms of CPT-1; A, B and C. It is CPT-1A that has been shown to be the predominant isoform which is overexpressed in breast cancer. We performed a bioinformatic analysis using readily available online platforms to establish the prognostic and predictive effects related to CPT-1A expression. These include the KM plotter, the Human Protein Atlas, the cBioPortal, the G2O, the MethSurvand the ROC plotter. A Network analysis was performed using the Oncomine platform and signalling pathways constituting the cancer hallmarks, including immune regulation as utilised by NanoString. The epigenetic pathways were obtained from the EpiFactor website. Spearman correlations (r) to determine the relationship between CPT-1A and the immune response were obtained using the TISIDB portal. Overexpression of CPT-1A largely confers a worse prognosis and CPT-1A progressively recruits a range of pathways as breast cancer progresses. CPT-1A’s interactions with cancer pathways is far wider than previously realised and includes associations with epigenetic regulation and immune evasion pathways, as well as wild-type moderate to high penetrant genes involved in hereditary breast cancer. Although CPT-1A genomic alterations are detected in 9% of breast carcinomas, both the alteration and the metagene associated with it, confers a poor prognosis. CPT-1A expression can be utilised as a biomarker of disease progression and as a potential therapeutic target.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM1_ESM.pptx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM3_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM6_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525709/bin/41598_2022_20585_MOESM7_ESM.xlsx"
Linc00514 promotes breast cancer metastasis and M2 polarization of tumor-associated macrophages via Jagged1-mediated notch signaling pathway,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7500027,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7500027/bin/13046_2020_1676_MOESM1_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7500027/bin/13046_2020_1676_MOESM2_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7500027/bin/13046_2020_1676_MOESM3_ESM.tif"
"Investigating the role of endogenous estrogens, hormone replacement therapy, and blockade of estrogen receptor-α activity on breast metabolic signaling",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185,Preclinical Study,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM5_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8557185/bin/10549_2021_6354_MOESM6_ESM.xlsx"
Clinicopathological significance of ataxia telangiectasia-mutated (ATM) kinase and ataxia telangiectasia-mutated and Rad3-related (ATR) kinase in MYC overexpressed breast cancers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658,Preclinical Study,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658/bin/10549_2018_5113_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658/bin/10549_2018_5113_MOESM2_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658/bin/10549_2018_5113_MOESM3_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658/bin/10549_2018_5113_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491658/bin/10549_2018_5113_MOESM5_ESM.tif"
"Environmental chemicals, breast cancer progression and drug resistance",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7672852,Review,"Breast cancer (BC) is one of the most common causes of cancer in the world and the second leading cause of cancer deaths among women. Mortality is associated mainly with the development of metastases. Identification of the mechanisms involved in metastasis formation is, therefore, a major public health issue. Among the proposed risk factors, chemical environment and pollution are increasingly suggested to have an effect on the signaling pathways involved in metastatic tumor cells emergence and progression. The purpose of this article is to summarize current knowledge about the role of environmental chemicals in breast cancer progression, metastasis formation and resistance to chemotherapy. Through a scoping review, we highlight the effects of a wide variety of environmental toxicants, including persistent organic pollutants and endocrine disruptors, on invasion mechanisms and metastatic processes in BC. We identified the epithelial-to-mesenchymal transition and cancer-stemness (the stem cell-like phenotype in tumors), two mechanisms suspected of playing key roles in the development of metastases and linked to chemoresistance, as potential targets of contaminants. We discuss then the recently described pro-migratory and pro-invasive Ah receptor signaling pathway and conclude that his role in BC progression is still controversial. In conclusion, although several pertinent pathways for the effects of xenobiotics have been identified, the mechanisms of actions for multiple other molecules remain to be established. The integral role of xenobiotics in the exposome in BC needs to be further explored through additional relevant epidemiological studies that can be extended to molecular mechanisms.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7672852/bin/12940_2020_670_MOESM1_ESM.docx
Sarcopenia and serum biomarkers of oxidative stress after a 6-month physical activity intervention in women with metastatic breast cancer: results from the ABLE feasibility trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8272711,Clinical Trial,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8272711/bin/10549_2021_6238_MOESM1_ESM.docx
LncRNA BCRT1 promotes breast cancer progression by targeting miR-1303/PTBP3 axis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM2_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM3_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM4_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM5_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM6_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM7_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM8_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM9_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM10_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM11_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206728/bin/12943_2020_1206_MOESM12_ESM.docx"
Single-nucleotide polymorphisms and the effectiveness of taxane-based chemotherapy in premenopausal breast cancer: a population-based cohort study in Denmark,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9239972,Epidemiology,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9239972/bin/10549_2022_6596_MOESM1_ESM.docx
DNA methylation landscape of triple-negative ductal carcinoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015930,Article,"Triple-negative breast cancer (TNBC) is a subtype of breast cancer unresponsive to traditional receptor-targeted treatments, leading to a disproportionate number of deaths. Invasive breast cancer is believed to evolve from non-invasive ductal carcinoma",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015930/bin/41598_2020_59260_MOESM1_ESM.pdf
Betulinic acid chemosensitizes breast cancer by triggering ER stress-mediated apoptosis by directly targeting GRP78,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5970196,Article,"Stress-induced cellular defense machinery has a critical role in mediating cancer drug resistance, and targeting stress-related signaling has become a novel strategy to improve chemosensitivity. Betulinic acid (BA) is a naturally occurring pentacyclic triterpenoid with potent anticancer bioactivities in multiple malignancies, whereas its underlying mechanisms remain unclear. Here in, we found that BA has synergistic effects with taxol to induce breast cancer cells G2/M checkpoint arrest and apoptosis induction, but had little cytotoxicity effects on normal mammary epithelial cells. Drug affinity responsive target stability (DARTS) strategy further identified glucose-regulated protein 78 (GRP78) as the direct interacting target of BA. BA administration significantly elevated GRP78-mediated endoplasmic reticulum (ER) stress and resulted in the activation of protein kinase R-like ER kinase (PERK)/eukaryotic initiation factor 2a/CCAAT/enhancer-binding protein homologous protein apoptotic pathway. GRP78 silencing or ER stress inhibitor salubrinal administration was revealed to abolish the anticancer effects of BA, indicating the critical role of GRP78 in mediating the bioactivity of BA. Molecular docking and coimmunoprecipitation assay further demonstrated that BA might competitively bind with ATPase domain of GRP78 to interrupt its interaction with ER stress sensor PERK, thereby initiating the downstream apoptosis cascade. In vivo breast cancer xenografts finally validated the chemosensitizing effects of BA and its biofunction in activating GRP78 to trigger ER stress-mediated apoptosis. Taken together, our study not only uncovers GRP78 as a novel target underlying the chemosensitizing effects of BA, but also highlights GRP78-based targeting strategy as a promising approach to improve breast cancer prognosis.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5970196/bin/41419_2018_669_MOESM1_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5970196/bin/41419_2018_669_MOESM2_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5970196/bin/41419_2018_669_MOESM3_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5970196/bin/41419_2018_669_MOESM4_ESM.docx"
Reduced Basal Nitric Oxide Production Induces Precancerous Mammary Lesions via ERBB2 and TGFβ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491486,Article,"One third of newly diagnosed breast cancers in the US are early-stage lesions. The etiological understanding and treatment of these lesions have become major clinical challenges. Because breast cancer risk factors are often linked to aberrant nitric oxide (NO) production, we hypothesized that abnormal NO levels might contribute to the formation of early-stage breast lesions. We recently reported that the basal level of NO in the normal breast epithelia plays crucial roles in tissue homeostasis, whereas its reduction contributes to the malignant phenotype of cancer cells. Here, we show that the basal level of NO in breast cells plummets during cancer progression due to reduction of the NO synthase cofactor, BH",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491486/bin/41598_2019_43239_MOESM1_ESM.pdf
Anti-neoplastic action of Cimetidine/Vitamin C on histamine and the PI3K/AKT/mTOR pathway in Ehrlich breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990,Article,"The main focus of our study is to assess the anti-cancer activity of cimetidine and vitamin C via combating the tumor supportive role of mast cell mediators (histamine, VEGF, and TNF-α) within the tumor microenvironment and their effect on the protein kinase A(PKA)/insulin receptor substrate-1(IRS-1)/phosphatidylinositol-3-kinase (PI3K)/serine/threonine kinase-1 (AKT)/mammalian target of rapamycin (mTOR) cue in Ehrlich induced breast cancer in mice. In vitro study was carried out to evaluate the anti-proliferative activity and combination index (CI) of the combined drugs. Moreover, the Ehrlich model was induced in mice via subcutaneous injection of Ehrlich ascites carcinoma cells (EAC) in the mammary fat pad, and then they were left for 9 days to develop obvious solid breast tumor. The combination therapy possessed the best anti-proliferative effect, and a CI < 1 in the MCF7 cell line indicates a synergistic type of drug interaction. Regarding the in vivo study, the combination abated the elevation in the tumor volume, and serum tumor marker carcinoembryonic antigen (CEA) level. The serum vascular endothelial growth factor (VEGF) level and immunohistochemical staining for CD34 as markers of angiogenesis were mitigated. Additionally, it reverted the state of oxidative stress and inflammation. Meanwhile, it caused an increment in apoptosis, which prevents tumor survival. Furthermore, it tackled the elevated histamine and cyclic adenosine monophosphate (cAMP) levels, preventing the activation of the (PKA/IRS-1/PI3K/AKT/mTOR) cue. Finally, we concluded that the synergistic combination provided a promising anti-neoplastic effect via reducing the angiogenesis, oxidative stress, increasing apoptosis,as well as inhibiting the activation of PI3K/AKT/mTOR cue, and suggesting its use as a treatment option for breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM1_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM2_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM3_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM4_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM5_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM6_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM7_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM8_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262990/bin/41598_2022_15551_MOESM9_ESM.jpg"
Zinc finger protein 32 promotes breast cancer stem cell-like properties through directly promoting GPER transcription,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875,Article,"Breast cancer is one of the leading causes of death in women. Due to the existence of a small fraction of stem cell-like subpopulations, some breast cancer subtypes exhibit very high malignancy and resistance to multiple therapies. The underlying mechanisms of how these subtypes acquire stem cell-like properties and progress more aggressively remain largely unknown. Zinc finger protein 32 (ZNF32), a newly discovered transcription factor, has been reported to be associated with breast cancer progression. However, many questions remain about its target genes and its exact mechanisms in regulating stem cell-like properties and drug resistance. In the present study, we examined the relationship between ZNF32 and GPER, a membrane-associated estrogen receptor, and we addressed their roles in stemness regulation in human breast cancer cell lines. Our results showed that ZNF32 could induce expansion of stem cell-like subpopulations and increase drug resistance by upregulating GPER expression, in which ERK activation was also implicated. We also illustrated that ZNF32 induced GPER expression via a ZNF32 binding sequence located within the GPER promoter region. A correlation between ZNF32/GPER expression and increased tumor incidence and burden was observed in xenograft mouse models. We conclude that ZNF32 can engage GPER/ERK signalling and confer breast cancer stem cell-like properties, which may indicate poor prognosis of breast cancer patients. ZNF32 and GPER targeted therapies might provide new solutions for breast cancer treatment.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM1_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM2_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM3_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM4_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM5_ESM.doc, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6255875/bin/41419_2018_1144_MOESM6_ESM.doc"
DEAD-box helicase 27 enhances stem cell-like properties with poor prognosis in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8344201,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8344201/bin/12967_2021_3011_MOESM1_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8344201/bin/12967_2021_3011_MOESM2_ESM.docx"
Mechanisms behind context-dependent role of glucocorticoids in breast cancer progression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9758252,Non-Thematic Review,"Glucocorticoids (GCs), mostly dexamethasone (dex), are routinely administered as adjuvant therapy to manage side effects in breast cancer. However, recently, it has been revealed that dex triggers different effects and correlates with opposite outcomes depending on the breast cancer molecular subtype. This has raised new concerns regarding the generalized use of GC and suggested that the context-dependent effects of GCs can be taken into potential consideration during treatment design. Based on this, attention has recently been drawn to the role of the glucocorticoid receptor (GR) in development and progression of breast cancer. Therefore, in this comprehensive review, we aimed to summarize the different mechanisms behind different context-dependent GC actions in breast cancer by applying a multilevel examination, starting from the association of variants of the GR-encoding gene to expression at the mRNA and protein level of the receptor, and its interactions with other factors influencing GC action in breast cancer. The role of GCs in chemosensitivity and chemoresistance observed during breast cancer therapy is discussed. In addition, experiences using GC targeting therapeutic options (already used and investigated in preclinical and clinical trials), such as classic GC dexamethasone, selective glucocorticoid receptor agonists and modulators, the GC antagonist mifepristone, and GR coregulators, are also summarized. Evidence presented can aid a better understanding of the biology of context-dependent GC action that can lead to further advances in the personalized therapy of breast cancer by the evaluation of GR along with the conventional estrogen receptor (ER) and progesterone receptor (PR) in the routine diagnostic procedure.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9758252/bin/10555_2022_10047_MOESM1_ESM.xlsx
"Immature O-glycans recognized by the macrophage glycoreceptor CLEC10A (MGL) are induced by 4-hydroxy-tamoxifen, oxidative stress and DNA-damage in breast cancer cells",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6712659,Research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6712659/bin/12964_2019_420_MOESM1_ESM.pdf
Identification of cuproptosis-related gene SLC31A1 and upstream LncRNA-miRNA regulatory axis in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10603161,Article,"Mounting evidence indicate that cuproptosis, a novel form of programmed cell death, contributes to cancer development and progression. However, a comprehensive analysis regarding the expressions, functions, and regulatory network of cuproptosis-related genes is still lacking. In the present work, cuproptosis-related genes, upstream miRNAs and lncRNAs, and clinical data of breast cancer from TCGA database were analyzed by R language including Cox regression analysis, correlation calculation, ROC curve construction, and survival evaluation, and were further verified by public-available databases. Chemosensitivity and immune infiltration were also evaluated by online tools. SLC31A1 was significantly increased in breast cancer samples than those in normal tissues. SLC31A1 was negatively related to a favorable outcome in breast cancer, and the AUC value increased with the prolongation of follow-up time. LINC01614 and miR-204-5p were potential upstream regulators of SLC31A1. Moreover, SLC31A1 was significantly positively correlated with different immune cells infiltration, immune cell biomarkers, and immune checkpoints in breast cancer. SLC31A1 was a potential cuproptosis-related gene in breast cancer, which was significantly upregulated and was able to predict diagnosis, prognosis, chemosensitivity, and immune infiltration. LINC01640/miR-204-5p/SLC31A1 might be a significant and promising axis during cuproptosis in breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10603161/bin/41598_2023_45761_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10603161/bin/41598_2023_45761_MOESM2_ESM.docx"
Effects of isoflavones on breast tissue and the thyroid hormone system in humans: a comprehensive safety evaluation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6132702,Review Article,"Isoflavones are secondary plant constituents of certain foods and feeds such as soy, linseeds, and red clover. Furthermore, isoflavone-containing preparations are marketed as food supplements and so-called dietary food for special medical purposes to alleviate health complaints of peri- and postmenopausal women. Based on the bioactivity of isoflavones, especially their hormonal properties, there is an ongoing discussion regarding their potential adverse effects on human health. This review evaluates and summarises the evidence from interventional and observational studies addressing potential unintended effects of isoflavones on the female breast in healthy women as well as in breast cancer patients and on the thyroid hormone system. In addition, evidence from animal and in vitro studies considered relevant in this context was taken into account along with their strengths and limitations. Key factors influencing the biological effects of isoflavones, e.g., bioavailability, plasma and tissue concentrations, metabolism, temporality (pre- vs. postmenopausal women), and duration of isoflavone exposure, were also addressed. Final conclusions on the safety of isoflavones are guided by the aim of precautionary consumer protection.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6132702/bin/204_2018_2279_MOESM1_ESM.docx
"Comprehensive analysis of the expression, prognostic significance, and regulation pathway of",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM5_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM6_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM7_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9753372/bin/12957_2022_2871_MOESM8_ESM.pdf"
Caveolin-1 inhibits breast cancer stem cells via c-Myc-mediated metabolic reprogramming,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025,Article,"Breast cancer stem cells (BCSCs) are considered to be the root of breast cancer occurrence and progression. However, the characteristics and regulatory mechanisms of BCSCs metabolism have been poorly revealed, which hinders the development of metabolism-targeted treatment strategies for BCSCs elimination. Herein, we demonstrated that the downregulation of Caveolin-1 (Cav-1) usually occurred in BCSCs and was associated with a metabolic switch from mitochondrial respiration to aerobic glycolysis. Meanwhile, Cav-1 could inhibit the self-renewal capacity and aerobic glycolysis activity of BCSCs. Furthermore, Cav-1 loss was associated with accelerated mammary-ductal hyperplasia and mammary-tumor formation in transgenic mice, which was accompanied by enrichment and enhanced aerobic glycolysis activity of BCSCs. Mechanistically, Cav-1 could promote Von Hippel-Lindau (VHL)-mediated ubiquitination and degradation of c-Myc in BCSCs through the proteasome pathway. Notably, epithelial Cav-1 expression significantly correlated with a better overall survival and delayed onset age of breast cancer patients. Together, our work uncovers the characteristics and regulatory mechanisms of BCSCs metabolism and highlights Cav-1-targeted treatments as a promising strategy for BCSCs elimination.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM1_ESM.doc, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM2_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM3_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM4_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM5_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM6_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM7_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM8_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM9_ESM.tif, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM10_ESM.doc, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290025/bin/41419_2020_2667_MOESM11_ESM.doc"
PSAT1 is regulated by ATF4 and enhances cell proliferation via the GSK3β/β-catenin/cyclin D1 signaling pathway in ER-negative breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5721480,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5721480/bin/13046_2017_648_MOESM1_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5721480/bin/13046_2017_648_MOESM2_ESM.pdf"
