Title,Authors,PublicationType,URL,KeyFindings,Abstract
Health Benefits of the Mediterranean Diet: Metabolic and Molecular Mechanisms.,"Tosti, Bertozzi, Fontana","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/29244059/," Consuming a Mediterranean diet rich in minimally processed plant foods has been associated with a reduced risk of developing chronic diseases and increased life expectancy . Data from several randomized clinic trials have demonstrated a beneficial effect in the primary and secondary prevention of cardiovascular disease, type 2 diabetes, atrial fibrillation, and breast cancer .","Consuming a Mediterranean diet rich in minimally processed plant foods has been associated with a reduced risk of developing multiple chronic diseases and increased life expectancy. Data from several randomized clinic trials have demonstrated a beneficial effect in the primary and secondary prevention of cardiovascular disease, type 2 diabetes, atrial fibrillation, and breast cancer. The exact mechanism by which an increased adherence to the traditional Mediterranean diet exerts its favorable effects is not known. However, accumulating evidence indicates that the five most important adaptations induced by the Mediterranean dietary pattern are: (a) lipid-lowering effect, (b) protection against oxidative stress, inflammation and platelet aggregation, (c) modification of hormones and growth factors involved in the pathogenesis of cancer, (d) inhibition of nutrient sensing pathways by specific amino acid restriction, and (e) gut microbiota-mediated production of metabolites influencing metabolic health. More studies are needed to understand how single modifications of nutrients typical of the Mediterranean diet interact with energy intake, energy expenditure, and the microbiome in modulating the key mechanisms that promote cellular, tissue, and organ health during aging."
Exercise Prevention of Cardiovascular Disease in Breast Cancer Survivors.,"Kirkham, Davis","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/26339243/, Breast cancer mortality rates have significantly declined over the past few decades . Women diagnosed with breast cancer are at an elevated risk for cardiovascular disease due in part to the cardiotoxic side effects of treatment . This paper reviews evidence for the role of exercise in prevention of cardiovascular toxicity associated with chemotherapy used in breast cancer .,"Thanks to increasingly effective treatment, breast cancer mortality rates have significantly declined over the past few decades. Following the increase in life expectancy of women diagnosed with breast cancer, it has been recognized that these women are at an elevated risk for cardiovascular disease due in part to the cardiotoxic side effects of treatment. This paper reviews evidence for the role of exercise in prevention of cardiovascular toxicity associated with chemotherapy used in breast cancer, and in modifying cardiovascular risk factors in breast cancer survivors. There is growing evidence indicating that the primary mechanism for this protective effect appears to be improved antioxidant capacity in the heart and vasculature and subsequent reduction of treatment-related oxidative stress in these structures. Further clinical research is needed to determine whether exercise is a feasible and effective nonpharmacological treatment to reduce cardiovascular morbidity and mortality in breast cancer survivors, to identify the cancer therapies for which it is effective, and to determine the optimal exercise dose. Safe and noninvasive measures that are sensitive to changes in cardiovascular function are required to answer these questions in patient populations. Cardiac strain, endothelial function, and cardiac biomarkers are suggested outcome measures for clinical research in this field."
Bile Acids and Cancer: Direct and Environmental-Dependent Effects.,"Di Ciaula, Wang, Molina-Molina, Lunardi Baccetto, Calamita, Palmieri, Portincasa","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/29080344/," Bile acids regulate the absorption of fat-soluble vitamins, cholesterol and lipids . When disrupted, these homeostatic pathways are able to promote local inflammation, metabolic disorders and, ultimately, cancer . The effect of hydrophobic BAs, in particular, can be linked with cancer in several digestive organs .","Bile acids (BAs) regulate the absorption of fat-soluble vitamins, cholesterol and lipids but have also a key role as singalling molecules and in the modulation of epithelial cell proliferation, gene expression and metabolism. These homeostatic pathways, when disrupted, are able to promote local inflammation, systemic metabolic disorders and, ultimately, cancer. The effect of hydrophobic BAs, in particular, can be linked with cancer in several digestive (mainly oesophagus, stomach, liver, pancreas, biliary tract, colon) and extra-digestive organs (i.e. prostate, breast) through a complex series of mechanisms including direct oxidative stress with DNA damage, apoptosis, epigenetic factors regulating gene expression, reduced/increased expression of nuclear receptors (mainly farnesoid X receptor, FXR) and altered composition of gut microbiota, also acting as a common interface between environmental factors (including diet, lifestyle, exposure to toxics) and the molecular events promoting cancerogenesis. Primary prevention strategies (i.e. changes in dietary habits and lifestyle, reduced exposure to environmental toxics) mainly able to modulate gut microbiota and the epigenome, and the therapeutic use of hydrophilic BAs to counterbalance the negative effects of the more hydrophobic BAs might be, in the near future, part of useful tools for cancer prevention and management."
Diabetes and Cancer: Cancer Should Be Screened in Routine Diabetes Assessment.,"Suh, Kim","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/31902143/," Cancer incidence appears to be increased in both type 1 and type 2 diabetes mellitus . DM represents a risk factor for cancer, particularly hepatocellular, hepatobiliary, pancreas, breast, ovarian, endometrial, and gastrointestinal cancers . Common risk factors such as age, obesity, physical inactivity and smoking may contribute to increased cancer risk in patients with DM .","Cancer incidence appears to be increased in both type 1 and type 2 diabetes mellitus (DM). DM represents a risk factor for cancer, particularly hepatocellular, hepatobiliary, pancreas, breast, ovarian, endometrial, and gastrointestinal cancers. In addition, there is evidence showing that DM is associated with increased cancer mortality. Common risk factors such as age, obesity, physical inactivity and smoking may contribute to increased cancer risk in patients with DM. Although the mechanistic process that may link diabetes to cancer is not completely understood yet, biological mechanisms linking DM and cancer are hyperglycemia, hyperinsulinemia, increased bioactivity of insulin-like growth factor 1, oxidative stress, dysregulations of sex hormones, and chronic inflammation. However, cancer screening rate is significantly lower in people with DM than that in people without diabetes. Evidence from previous studies suggests that some medications used to treat DM are associated with either increased or reduced risk of cancer. However, there is no strong evidence supporting the association between the use of anti-hyperglycemic medication and specific cancer. In conclusion, all patients with DM should be undergo recommended age- and sex appropriate cancer screenings to promote primary prevention and early detection. Furthermore, cancer should be screened in routine diabetes assessment."
"Cancer-Associated Exosomal CBFB Facilitates the Aggressive Phenotype, Evasion of Oxidative Stress, and Preferential Predisposition to Bone Prometastatic Factor of Breast Cancer Progression.","Hsu, Ma, Ong, Hsieh, Yadav, Yeh, Chao, Lee, Huang, Kuo, Fong, Lin, Su",Journal Article,https://pubmed.ncbi.nlm.nih.gov/35903297/," Circulating exosomes play critical roles in tumorigenesis, distant metastasis, and poor prognosis in patients with breast cancer . Breast cancer cells exhibit high levels of oxidative stress, including protein damage, DNA damage, and lipid peroxidation . We used an online database to analyze the expression and prognostic value of core binding factor subunit <i>β</i> (CBFB) and oxidative stress-related targets .","Despite therapeutic advancements, metastasis remains a major cause in breast cancer-specific mortality. Breast cancer cells are susceptible to oxidative damage and exhibit high levels of oxidative stress, including protein damage, DNA damage, and lipid peroxidation. Some breast cancer risk factors may change the level of endogenous oxidative stress. Circulating exosomes play critical roles in tumorigenesis, distant metastasis, and poor prognosis in patients with breast cancer. We used an online database to analyze the expression and prognostic value of core binding factor subunit <i>β</i> (CBFB) and oxidative stress-related targets in patients with breast cancer. Serum from healthy controls and patients with primary breast cancer or bone metastatic breast cancer in the bone was collected. Exosomes were isolated from the sera or cell culture media. We used an MDA-MB-436-innoculated tumor xenograft mouse model for silencing CBFB. Circulating exosomes from patients with breast cancer metastasis to the bone were rich in CBFB. The human mammary fibroblast cells HMF3A and fibroblasts derived from patient samples cocultured with exosomes had increased <i>α</i>-SMA and vimentin expression and IL-6 and OPN secretion. Similarly, nonmetastatic breast cancer cells cocultured with exosomes exhibited increased levels of certain markers, including vimentin, snail1, CXCR4, and Runx2, and the exosomes had high CBFB expression. Silencing CBFB in metastatic MDA-MB-436 and MDA-MB-157 cells resulted in suppressed migration and invasion and downregulation of vimentin, CXCR4, snail1, Runx2, CD44, and OPN. Conversely, CBFB overexpression resulted in upregulation of Runx2, vimentin, snail1, CD44, and OPN in nonmetastatic T47D and MCF12A cells. The CBFB-rich exosomes derived from MDA-MB-436 cells induced enhanced metastatic phenotypes in the low-metastatic T47D and MCF12A cell lines. Our results revealed that CBFB may promote bone metastasis in patients with breast cancer. Of therapeutic relevance, targeting CBFB resulted in decreased tumor burden and bone metastasis, downregulation of bone metastasis markers, and impaired regulation of oxidative stress-related proteins NAE1 and NOS1."
Translational opportunities for broad-spectrum natural phytochemicals and targeted agent combinations in breast cancer.,"Dalasanur Nagaprashantha, Adhikari, Singhal, Chikara, Awasthi, Horne, Singhal","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/28975625/," Breast cancer prevention and therapy in the context of life-style risk factors and biological drivers is a major focus of developmental therapeutics in oncology . Obesity, alcohol, chronic estrogen signaling and smoking have distinct BC precipitating and facilitating effects that may act alone or in combination . Natural phytochemicals modulate oxidative stress, leptin, integrin, HER2, MAPK, ERK, Wnt/β-catenin and NFκB signaling .","Breast cancer (BC) prevention and therapy in the context of life-style risk factors and biological drivers is a major focus of developmental therapeutics in oncology. Obesity, alcohol, chronic estrogen signaling and smoking have distinct BC precipitating and facilitating effects that may act alone or in combination. A spectrum of signaling events including enhanced oxidative stress and changes in estrogen-receptor (ER)-dependent and -independent signaling drive the progression of BC. Breast tumors modulate ERα/ERβ ratio, upregulate proliferative pathways driven by ERα and HER2 with a parallel loss and/or downregulation of tumor suppressors such as TP53 and PTEN which together impact the efficacy of therapeutic strategies and frequently lead to emergence of drug resistance. Natural phytochemicals modulate oxidative stress, leptin, integrin, HER2, MAPK, ERK, Wnt/β-catenin and NFκB signaling along with regulating ERα and ERβ, thereby presenting unique opportunities for both primary and combinatorial interventions in BC. In this regard, this article focuses on critical analyses of the evidence from multiple studies on the efficacy of natural phytochemicals in BC. In addition, areas in which the combinations of such effective natural phytochemicals with approved and/or developing anticancer agents can be translationally beneficial are discussed to derive evidence-based inference for addressing challenges in BC control and therapy."
Evaluation of the effect of N-acetylcysteine on the prevention and amelioration of paclitaxel-induced peripheral neuropathy in breast cancer patients: a randomized controlled study.,"Khalefa, Shawki, Aboelhassan, El Wakeel","Comparative Study, Journal Article, Randomized Controlled Trial",https://pubmed.ncbi.nlm.nih.gov/32601973/, The aim of the current study was to evaluate the effect of N-acetylcysteine (NAC) on the incidence and severity of paclitaxel-induced peripheral neuropathy (PIPN) in breast cancer patients . Oral NAC might reduce the incidence of PIPN and improve the patients' quality of life .,"The aim of the current study was to evaluate the effect of N-acetylcysteine (NAC) on the incidence and severity of paclitaxel-induced peripheral neuropathy (PIPN) in breast cancer patients. A prospective randomized controlled open label study was conducted on 75 breast cancer patients receiving adjuvant paclitaxel 80 mg/m<sup>2</sup> weekly for 12 weeks. Eligible patients were randomized to either the low dose group; 1200 mg daily NAC, the high dose group; 1200 mg NAC twice daily or the control group; received paclitaxel only. The primary endpoint was the incidence of different grades of PIPN using National Cancer Institute's common toxicity criteria for adverse event (NCI-CTCAE) while secondary endpoints were the severity of PIPN using modified total neuropathy score (mTNS), quality of life (QOL) using Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity (FACT-GOG-NTX) subscale, serum nerve growth factor (NGF), and serum malondialdehyde (MDA). At the end of the 12-week period, the incidence of grade (2, 3) peripheral neuropathy was significantly lower in the high dose group (28.6%) compared to the low dose group (61.9%) and the control group (100%), p value < 0.001. A significant improvement in the mTNS and QOL scores was observed after 6 and 12 weeks in the high dose group and the low dose group compared to the control, p value < 0.001. Significantly higher levels of serum NGF in the high dose group and lower level of serum MDA in the high dose and the low dose group were observed. Oral NAC (1200 mg once and twice daily) might reduce the incidence and severity of PIPN and improve the patients' QOL. Clinical Trial.gov registration number: NCT03492047."
Food Antioxidants and Their Anti-Inflammatory Properties: A Potential Role in Cardiovascular Diseases and Cancer Prevention.,"Griffiths, Aggarwal, Singh, Buttar, Wilson, De Meester","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/28933408/," Mediterranean-style diets caused a significant decline in cardiovascular diseases (CVDs) in early landmark studies . The increase in oxidative stress causing inflammation is a unifying hypothesis for predisposing people to atherosclerosis, carcinogenesis, and osteoporosis . The impact of antioxidants and anti-inflammatory agents on cancer and cardiovascular disease was explored .","Mediterranean-style diets caused a significant decline in cardiovascular diseases (CVDs) in early landmark studies. The effect of a traditional Mediterranean diet on lipoprotein oxidation showed that there was a significant reduction in oxidative stress in the intervention group (Mediterranean diet + Virgin Olive Oil) compared to the low-fat diet group. Conversely, the increase in oxidative stress causing inflammation is a unifying hypothesis for predisposing people to atherosclerosis, carcinogenesis, and osteoporosis. The impact of antioxidants and anti-inflammatory agents on cancer and cardiovascular disease, and the interventive mechanisms for the inhibition of proliferation, inflammation, invasion, metastasis, and activation of apoptosis were explored. Following the Great Oxygen Event some 2.3 billion years ago, organisms have needed antioxidants to survive. Natural products in food preservatives are preferable to synthetic compounds due to their lower volatility and stability and generally higher antioxidant potential. Free radicals, reactive oxygen species, antioxidants, pro-oxidants and inflammation are described with examples of free radical damage based on the hydroxyl, nitric oxide and superoxide radicals. Flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described. The protective effect of flavonoids on the DNA damage caused by hydroxyl radicals through chelation is an important mechanism, though the converse may be possible, e.g., quercetin. The antioxidant properties of carotenoids, which are dietary natural pigments, have been studied in relation to breast cancer risk and an inverse association was found with plasma concentrations: higher levels mean lower risk. The manipulation of primary and secondary human metabolomes derived especially from existing or transformed gut microbiota was explored as a possible alternative to single-agent dietary interventions for cancer and cardiovascular disease. Sustained oxidative stress leading to inflammation and thence to possibly to cancer and cardiovascular disease is described for spices and herbs, using curcumin as an example of an intervention, based on activation of transcription factors which suggest that oxidative stress, chronic inflammation, and cancer are closely linked."
Oridonin promotes RSL3-induced ferroptosis in breast cancer cells by regulating the oxidative stress signaling pathway JNK/Nrf2/HO-1.,"Ye, Hu, Sun, Su, Cai, Jiang",Journal Article,https://pubmed.ncbi.nlm.nih.gov/38685305/," The incidence and mortality of breast cancer, the most common malignant tumor among women in the world, are increasing year by year . Ferroptosis is an iron and lipid reactive oxygen species (ROS)-dependent process, a novel form of cell death that is distinct from apoptosis and is closely related to the progression of cancer . Oridonin (ORI), the primary active ingredient extracted from the Chinese herbal medicine Rabdosia rubescens, has been shown to cause glutathione depletion .","The incidence and mortality of breast cancer, the most common malignant tumor among women in the world, are increasing year by year, which greatly threatens women's health. Ferroptosis is an iron and lipid reactive oxygen species (ROS)-dependent process, a novel form of cell death that is distinct from apoptosis and is closely related to the progression of breast cancer. Inducing the occurrence of ferroptosis in tumor cells can effectively block its malignant progress in vivo. Oridonin (ORI), the primary active ingredient extracted from the Chinese herbal medicine Rabdosia rubescens, has been shown to cause glutathione depletion and directly inhibit glutathione peroxidase 4 induced cell death by ferroptosis, but its mechanism of action in breast cancer remains inadequately elucidated. Therefore, we further investigated whether ORI could promote RSL3-induced ferroptosis in breast cancer cells by regulating the oxidative stress pathway JNK/Nrf2/HO-1. In our study, we assessed cell survival of RSL3 and ORI treatment by MTT assay, and found that co-treatment with RSL3 and ORI inhibited cell proliferation, as evidenced by the cloning assay. To investigate the ability of ORI to promote RSL3-induced ferroptosis in breast cancer cells, we measured levels of ROS, malondialdehyde, glutathione, superoxide dismutase, and Fe<sup>2+</sup> content. Lipid peroxidation, ROS, and mitochondrial membrane potential levels induced by co-treatment of ORI with RSL3 were reversed by ferrostatin-1, further confirming that the cell death induced by RSL3 and ORI was ferroptosis rather than other programmed cell death modes. Moreover, RSL3 and ORI co-treatment regulated the JNK/Nrf2/HO-1 axis, as demonstrated by western blotting and target activator validation. Our results showed that ORI could enhance the inhibitory effect of RSL3 on breast cancer cells viability via the induction of ferroptosis. Mechanistically, it potentiated RSL3-induced ferroptosis in breast cancer cells by activating the JNK/Nrf2/HO-1 axis. This study provides a theoretical basis for the application of ORI based on the mechanism of ferroptosis, and provides potential natural drug candidates for cancer prevention and treatment."
DNA double-strand break repair genes and oxidative damage in brain metastasis of breast cancer.,"Woditschka, Evans, Duchnowska, Reed, Palmieri, Qian, Badve, Sledge, Gril, Aladjem, Fu, Flores, Gökmen-Polar, Biernat, Szutowicz-Zielińska, Mandat, Trojanowski, Och, Czartoryska-Arlukowicz, Jassem, Mitchell, Steeg","Journal Article, Research Support, N.I.H., Intramural, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",https://pubmed.ncbi.nlm.nih.gov/24948741/," Breast cancer frequently metastasizes to the brain, colonizing a neuro-inflammatory microenvironment . DNA repair genes BARD1 and RAD51 were modulated in human brain-tropic breast cancer cell lines by lentiviral transduction of cDNA or short hairpin RNA (shRNA) coding sequences . Overexpression of either gene in MDA-MB-231-BR cells increased brain metastases by threefold to fourfold after intracardiac injections .","Breast cancer frequently metastasizes to the brain, colonizing a neuro-inflammatory microenvironment. The molecular pathways facilitating this colonization remain poorly understood. Expression profiling of 23 matched sets of human resected brain metastases and primary breast tumors by two-sided paired t test was performed to identify brain metastasis-specific genes. The implicated DNA repair genes BARD1 and RAD51 were modulated in human (MDA-MB-231-BR) and murine (4T1-BR) brain-tropic breast cancer cell lines by lentiviral transduction of cDNA or short hairpin RNA (shRNA) coding sequences. Their functional contribution to brain metastasis development was evaluated in mouse xenograft models (n = 10 mice per group). Human brain metastases overexpressed BARD1 and RAD51 compared with either matched primary tumors (1.74-fold, P < .001; 1.46-fold, P < .001, respectively) or unlinked systemic metastases (1.49-fold, P = .01; 1.44-fold, P = .008, respectively). Overexpression of either gene in MDA-MB-231-BR cells increased brain metastases by threefold to fourfold after intracardiac injections, but not lung metastases upon tail-vein injections. In 4T1-BR cells, shRNA-mediated RAD51 knockdown reduced brain metastases by 2.5-fold without affecting lung metastasis development. In vitro, BARD1- and RAD51-overexpressing cells showed reduced genomic instability but only exhibited growth and colonization phenotypes upon DNA damage induction. Reactive oxygen species were present in tumor cells and elevated in the metastatic neuro-inflammatory microenvironment and could provide an endogenous source of genotoxic stress. Tempol, a brain-permeable oxygen radical scavenger suppressed brain metastasis promotion induced by BARD1 and RAD51 overexpression. BARD1 and RAD51 are frequently overexpressed in brain metastases from breast cancer and may constitute a mechanism to overcome reactive oxygen species-mediated genotoxic stress in the metastatic brain."
Preclinical and Clinical Evidence of Therapeutic Agents for Paclitaxel-Induced Peripheral Neuropathy.,"Kawashiri, Inoue, Mori, Kobayashi, Mine, Ushio, Kudamatsu, Uchida, Egashira, Shimazoe","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/34445439/," Paclitaxel is an essential drug in the chemotherapy of ovarian, non-small cell lung, breast, gastric, endometrial, and pancreatic cancers . However, it frequently causes peripheral neuropathy as a dose-limiting factor . This review summarizes the basic and clinical evidence for therapeutic or prophylactic effects for PIPN .","Paclitaxel is an essential drug in the chemotherapy of ovarian, non-small cell lung, breast, gastric, endometrial, and pancreatic cancers. However, it frequently causes peripheral neuropathy as a dose-limiting factor. Animal models of paclitaxel-induced peripheral neuropathy (PIPN) have been established. The mechanisms of PIPN development have been elucidated, and many drugs and agents have been proven to have neuroprotective effects in basic studies. In addition, some of these drugs have been validated in clinical studies for their inhibitory PIPN effects. This review summarizes the basic and clinical evidence for therapeutic or prophylactic effects for PIPN. In pre-clinical research, many reports exist of neuropathy inhibitors that target oxidative stress, inflammatory response, ion channels, transient receptor potential (TRP) channels, cannabinoid receptors, and the monoamine nervous system. Alternatively, very few drugs have demonstrated PIPN efficacy in clinical trials. Thus, enhancing translational research to translate pre-clinical research into clinical research is important."
"Relationship between <i>MUTYH, OGG1</i> and <i>BRCA1</i> mutations and mRNA expression in breast and ovarian cancer predisposition.","Moscatello, Di Nicola, Veschi, Di Gregorio, Cianchetti, Stuppia, Battista, Cama, Curia, Aceto",Journal Article,https://pubmed.ncbi.nlm.nih.gov/33343895/," The aetiology of breast and ovarian cancer (BC/OC) is multi-factorial. At present, the involvement of base excision repair (BER) glycosylases (MUTYH and OGG1) in BC/OC predisposition is controversial . The study investigated whether germline mutation status and mRNA expression of two BER genes were correlated with BRCA1 .","The aetiology of breast and ovarian cancer (BC/OC) is multi-factorial. At present, the involvement of base excision repair (BER) glycosylases (MUTYH and OGG1) in BC/OC predisposition is controversial. The present study investigated whether germline mutation status and mRNA expression of two BER genes, <i>MUTHY</i> and <i>OGG1</i>, were correlated with <i>BRCA1</i> in 59 patients with BC/OC and 50 matched population controls. In addition, to evaluate the relationship between <i>MUTYH</i>, <i>OGG1</i> and <i>BRCA1</i>, their possible mutual modulation and correlation among mutational spectrum, gene expression and demographic characteristics were evaluated. The results identified 18 <i>MUTYH</i> and <i>OGG1</i> variants, of which 4 were novel (2 <i>MUTYH</i> and 2 <i>OGG1</i>) in 44 of the 59 patients. In addition, two pathogenic mutations were identified: <i>OGG1</i> p.Arg46Gln, detected in a patient with BC and a family history of cancer, and <i>MUTYH</i> p.Val234Gly in a patient with OC, also with a family history of cancer. A significant reduced transcript expression in <i>MUTYH</i> was observed <i>(</i>P=0.033) in cases, and in association with the presence of rare variants in the same gene (P=0.030). A significant correlation in the expression of the two BER genes was observed in cases (P=0.004), whereas OGG1 and BRCA1 was significantly correlated in cases (P=0.001) compared with controls (P=0.010). The results of the present study indicated that the relationship among mutational spectrum, gene expression and demographic characteristics may improve the genetic diagnosis and primary prevention of at-risk individuals belonging to families with reduced mRNA expression, regardless of mutation presence."
Plasma biomarkers reflecting high oxidative stress in the prediction of myocardial injury due to anthracycline chemotherapy and the effect of carvedilol: insights from the CECCY Trial.,"Wanderley, Ávila, Fernandes-Silva, Cruz, Brandão, Rigaud, Hajjar, Filho, Cunha-Neto, Bocchi, Ayub-Ferreira","Journal Article, Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/35087624/," Anthracycline (ANT) is often used for breast cancer treatment but its clinical use is limited by cardiotoxicity (CTX) CECCY trial demonstrated that the β-blocker carvedilol (CVD) could attenuate myocardial injury secondary to ANT . Mieloperoxydase (MPO) is a biomarker of oxidative stress and galectin-3 (Gal-3), which is also linked to fibrosis and cardiac remodeling . We evaluated the correlation between MPO and Gal-3 behavior with CTX .","Anthracycline (ANT) is often used for breast cancer treatment but its clinical use is limited by cardiotoxicity (CTX). CECCY trial demonstrated that the β-blocker carvedilol (CVD) could attenuate myocardial injury secondary to ANT. Mieloperoxydase (MPO) is a biomarker of oxidative stress and galectin-3 (Gal-3) is a biomarker of fibrosis and cardiac remodeling. We evaluated the correlation between MPO and Gal-3 behavior with CTX. A <i>post hoc</i> analysis was performed in the patients who were included in the CECCY trial. A total of 192 women had her blood samples stored during the study at -80°C until the time of assay in a single batch. Stored blood samples were obtained at baseline, 3 and 6 months after randomization. We excluded samples from 18 patients because of hemolysis. MPO and Gal-3 were measured using Luminex xMAP technology through MILLIPLEX MAP KIT (Merck Laboratories). 26 patients (14.9%) had a decrease of at least 10% in LVEF at 6 months after the initiation of chemotherapy. Among these, there was no significant difference in the MPO and Gal-3 when compared to the group without drop in LVEF (<i>p</i> = 0.85 for both MPO and Gal-3). Blood levels of MPO [baseline: 13.2 (7.9, 24.8), 3 months: 17.7 (11.1, 31.1), 6 months: 19.2 (11.1, 37.8) ng/mL] and Gal-3 [baseline: 6.3 (5.2, 9.6), 3 months: 12.3 (9.8, 16.0), 6 months: 10.3 (8.2, 13.1) ng/mL] increased after ANT chemotherapy, and the longitudinal changes were similar between the placebo and CVD groups (p for interaction: 0.28 and 0.32, respectively). In an exploratory analysis, as there is no normal cutoff value established for Gal-3 and MPO in the literature, the MPO and Gal-3 results were splited in two groups: above and below median. In the placebo group, women with high (above median) baseline MPO blood levels demonstrated a greater increase in TnI blood levels than those with low baseline MPO blood levels (<i>p</i> = 0.041). Compared with placebo, CVD significantly reduced TnI blood levels in women with high MPO blood levels (<i>p</i> < 0.001), but did not reduce the TnI levels in women with low baseline MPO blood levels (<i>p</i> = 0.97; p for interaction = 0.009). There was no significant interaction between CVD treatment and baseline Gal-3 blood levels (p for interaction = 0.99). In this subanalysis of the CECCY trial, MPO and Gal-3 biomarkers did not predict the development of CTX. However, MPO blood levels above median was associated with more severe myocardial injury and identified women who were most likely to benefit from carvedilol for primary prevention (NCT01724450)."
